Unnamed: 0,ProdTaken,Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Female,Gender_Male,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP
3462,0,37.0,1,11.0,3,5.0,3.0,3.0,0,5,1,2.0,24488.0,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False
1983,1,20.0,1,16.0,2,3.0,3.0,2.0,1,5,1,1.0,16009.0,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
3370,0,44.0,3,11.0,3,5.0,3.0,5.0,0,3,1,1.0,28909.0,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False
4573,0,29.0,3,12.0,4,4.0,3.0,3.0,0,3,0,2.0,23586.0,True,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
4525,0,36.0,1,14.0,3,4.0,3.0,5.0,0,3,0,2.0,28899.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
3180,0,49.0,1,11.0,4,5.0,3.0,2.0,0,5,1,2.0,29677.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
74,0,36.0,1,12.0,2,2.0,3.0,4.0,0,2,0,0.0,18038.0,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
4301,0,41.0,3,9.0,3,4.0,4.0,2.0,0,1,0,1.0,24393.0,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False
3099,0,34.0,2,10.0,3,4.0,4.0,5.0,1,5,0,2.0,20955.0,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
2726,0,30.0,3,9.0,3,4.0,3.0,3.0,0,2,0,1.0,23232.0,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False
311,0,45.0,1,13.0,3,3.0,5.0,2.0,0,2,1,2.0,20210.0,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
4197,0,56.0,1,27.0,3,4.0,3.0,5.0,1,1,0,1.0,24093.0,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False
2197,0,18.0,1,11.0,3,3.0,3.0,2.0,0,1,0,1.0,16051.0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False
4218,0,40.0,1,7.0,3,2.0,3.0,2.0,0,3,1,1.0,28291.0,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
2032,1,33.0,1,6.0,3,3.0,3.0,2.0,1,3,1,0.0,17686.0,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False
4252,0,31.0,3,12.0,2,5.0,3.0,3.0,0,1,1,1.0,24796.0,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False
3271,0,29.0,1,13.0,3,5.0,3.0,3.0,1,4,1,1.0,21381.0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
2332,0,44.0,1,23.0,3,5.0,3.0,3.0,0,4,1,1.0,17290.0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False
83,0,38.0,1,12.0,3,5.0,3.0,1.0,1,2,0,2.0,20329.0,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False
2222,1,36.0,1,22.0,2,1.0,5.0,2.0,0,1,1,0.0,17743.0,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False
1907,0,30.0,3,13.0,2,3.0,4.0,1.0,0,1,0,0.0,17983.0,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
273,0,37.0,3,12.0,3,3.0,3.0,5.0,0,3,0,0.0,21502.0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False
4266,0,49.0,3,36.0,4,4.0,3.0,5.0,0,4,0,2.0,31182.0,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False
3857,0,26.0,1,9.0,3,4.0,3.0,8.0,1,5,0,1.0,22655.0,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
3503,0,36.0,3,14.0,4,4.0,3.0,3.0,0,3,1,1.0,21082.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2505,0,39.0,1,36.0,3,4.0,3.0,3.0,0,3,1,1.0,21084.0,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False
1985,0,35.0,1,9.0,2,4.0,3.0,2.0,0,1,1,1.0,16281.0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
110,0,51.0,1,6.0,1,4.0,5.0,4.0,0,2,1,0.0,22484.0,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False
1956,0,37.0,3,8.0,3,3.0,3.0,5.0,1,3,0,2.0,24602.0,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
4529,0,28.0,1,10.0,3,4.0,3.0,3.0,0,1,0,1.0,20384.0,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
2358,0,35.0,3,14.0,3,4.0,3.0,5.0,1,5,1,2.0,25377.0,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False
3585,0,31.0,1,14.0,3,5.0,4.0,3.0,0,5,0,1.0,20819.0,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
1312,1,31.0,2,24.0,2,1.0,5.0,1.0,0,1,1,0.0,17956.0,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
3694,0,30.0,1,7.0,4,2.0,3.0,2.0,1,3,0,2.0,24972.0,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False
1908,0,35.0,1,22.0,3,3.0,3.0,5.0,1,1,0,0.0,22632.0,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
4132,0,46.0,3,13.0,3,5.0,3.0,8.0,0,4,1,1.0,27543.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
4790,0,21.0,3,28.0,3,2.0,3.0,3.0,0,3,1,2.0,21356.0,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False
545,0,30.0,3,33.0,2,3.0,3.0,1.0,0,3,1,0.0,20304.0,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
4273,0,37.0,3,10.0,3,5.0,3.0,6.0,0,1,0,1.0,28377.0,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
4458,0,48.0,3,10.0,3,4.0,3.0,2.0,1,5,1,1.0,32448.0,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False
3868,0,36.0,1,16.0,3,4.0,3.0,3.0,0,4,0,2.0,23776.0,True,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
1377,0,49.0,1,8.0,2,3.0,3.0,4.0,0,3,1,0.0,34161.0,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True
2164,0,33.0,1,6.0,2,4.0,3.0,1.0,0,4,1,1.0,21949.0,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
2593,0,20.0,1,10.0,4,4.0,4.0,3.0,0,3,1,3.0,20161.0,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False
4559,1,30.0,3,7.0,3,5.0,3.0,8.0,1,1,1,2.0,21478.0,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False
2710,0,32.0,1,30.0,4,5.0,3.0,2.0,0,3,1,2.0,24260.0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False
2065,1,58.0,1,8.0,2,3.0,4.0,1.0,1,3,1,0.0,34246.0,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True
3373,0,29.0,1,9.0,3,5.0,3.0,3.0,1,4,1,1.0,22545.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
4083,0,33.0,1,13.0,3,4.0,3.0,5.0,0,1,0,2.0,21716.0,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
1621,0,35.0,3,6.0,3,3.0,4.0,2.0,0,4,0,0.0,22295.0,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
1911,0,42.0,1,11.0,3,3.0,3.0,5.0,0,3,0,1.0,17093.0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
348,0,42.0,1,29.0,2,3.0,3.0,3.0,0,3,0,0.0,30992.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
901,0,48.0,1,8.0,3,1.0,4.0,6.0,0,2,0,2.0,17559.0,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
339,0,27.0,3,14.0,2,3.0,4.0,2.0,0,2,0,0.0,21214.0,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False
2940,0,22.0,3,29.0,3,4.0,3.0,3.0,0,2,1,2.0,22125.0,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
780,1,28.0,1,30.0,3,4.0,5.0,2.0,0,2,0,0.0,23722.0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
2830,0,38.0,1,21.0,4,4.0,5.0,3.0,0,4,1,1.0,21712.0,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
1515,1,41.0,1,18.0,2,3.0,3.0,2.0,0,4,1,1.0,34545.0,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
2191,0,50.0,1,30.0,3,3.0,3.0,4.0,1,4,1,2.0,28973.0,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False
4671,0,35.0,3,7.0,4,2.0,3.0,2.0,0,5,0,2.0,28403.0,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
3175,1,21.0,1,18.0,4,5.0,5.0,3.0,1,3,0,2.0,21278.0,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False
1504,1,24.0,1,6.0,3,3.0,3.0,3.0,1,3,0,2.0,17293.0,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
1845,0,49.0,1,13.0,2,4.0,3.0,1.0,0,1,1,0.0,25965.0,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
529,0,38.0,1,6.0,2,2.0,3.0,1.0,0,2,1,1.0,22625.0,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
4501,0,53.0,1,18.0,3,4.0,3.0,2.0,0,1,1,1.0,21827.0,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False
3696,0,35.0,1,9.0,4,2.0,3.0,2.0,1,1,0,2.0,21610.0,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
3968,0,27.0,3,30.0,3,5.0,3.0,2.0,1,1,0,1.0,22835.0,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False
635,0,35.0,1,15.0,3,4.0,3.0,2.0,1,4,1,1.0,25685.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
3230,0,28.0,1,15.0,3,6.0,3.0,3.0,0,2,1,2.0,23299.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2317,0,34.0,1,7.0,3,4.0,5.0,1.0,0,1,0,0.0,20343.0,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False
4416,0,54.0,3,7.0,3,4.0,5.0,2.0,0,1,1,2.0,27059.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
1579,0,22.0,1,21.0,2,3.0,3.0,2.0,0,1,1,1.0,17871.0,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False
3209,0,39.0,1,10.0,3,4.0,3.0,5.0,0,3,1,2.0,21499.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1075,0,32.0,1,16.0,1,3.0,3.0,3.0,0,1,0,0.0,26244.0,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
626,0,32.0,1,14.0,3,1.0,3.0,6.0,0,3,1,2.0,20175.0,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False
3565,0,37.0,3,7.0,4,4.0,3.0,8.0,0,1,1,2.0,25493.0,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
3546,0,37.0,3,9.0,4,4.0,3.0,5.0,1,3,0,1.0,21322.0,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
687,0,36.0,1,8.0,3,3.0,3.0,5.0,0,5,1,0.0,17519.0,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
697,0,29.0,3,26.0,2,3.0,3.0,2.0,0,3,0,1.0,17157.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1743,0,37.0,3,12.0,3,3.0,3.0,5.0,0,3,1,0.0,21502.0,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
2184,0,50.0,1,6.0,3,3.0,3.0,1.0,0,5,0,2.0,32399.0,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False
758,0,59.0,3,6.0,3,3.0,3.0,4.0,1,2,0,1.0,26904.0,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
551,0,39.0,2,9.0,2,2.0,4.0,1.0,0,2,1,0.0,21389.0,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
2440,1,27.0,1,30.0,3,4.0,3.0,2.0,1,3,1,1.0,17534.0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False
270,0,55.0,1,6.0,2,3.0,5.0,1.0,1,2,1,0.0,34045.0,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True
3636,0,50.0,1,23.0,4,4.0,5.0,6.0,1,1,1,2.0,21265.0,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False
4048,0,27.0,2,32.0,4,4.0,3.0,3.0,0,4,1,2.0,21620.0,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
932,1,29.0,1,13.0,2,3.0,3.0,4.0,1,4,1,1.0,18339.0,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
4140,0,38.0,3,11.0,3,4.0,3.0,6.0,0,4,1,1.0,21471.0,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
258,0,51.0,1,6.0,3,3.0,3.0,2.0,0,4,1,0.0,17723.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
4702,0,29.0,1,17.0,3,4.0,3.0,5.0,0,4,0,2.0,22338.0,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
1926,0,31.0,3,13.0,2,4.0,3.0,1.0,0,3,1,0.0,26557.0,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
2930,0,38.0,3,9.0,4,4.0,3.0,6.0,1,3,0,2.0,28280.0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False
2481,0,36.0,3,9.0,4,4.0,3.0,3.0,0,2,1,1.0,20692.0,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
2854,0,31.0,1,9.0,3,6.0,3.0,4.0,0,2,0,2.0,24769.0,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
4210,1,19.0,1,10.0,3,4.0,3.0,3.0,0,4,1,1.0,20098.0,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
2306,1,29.0,3,29.0,2,4.0,5.0,2.0,0,3,1,1.0,22336.0,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
2157,0,36.0,1,8.0,3,3.0,3.0,5.0,0,5,1,1.0,17519.0,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
3586,0,46.0,1,12.0,3,6.0,5.0,3.0,1,3,1,1.0,24447.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
2048,0,38.0,1,8.0,3,1.0,5.0,7.0,1,1,0,0.0,20980.0,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False
1465,0,36.0,1,29.0,2,1.0,3.0,5.0,0,3,0,0.0,17571.0,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
3304,1,23.0,1,10.0,3,5.0,3.0,2.0,1,3,0,1.0,21531.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1314,0,45.0,3,8.0,3,3.0,3.0,5.0,0,1,1,2.0,20154.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False
665,0,47.0,3,8.0,3,4.0,3.0,2.0,1,2,1,0.0,18294.0,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False
1847,0,36.0,1,8.0,3,3.0,3.0,5.0,0,5,1,0.0,17543.0,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
2094,0,53.0,3,13.0,3,4.0,3.0,1.0,1,1,0,1.0,25934.0,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False
1027,0,34.0,1,6.0,2,4.0,4.0,6.0,0,1,1,1.0,18294.0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
3440,0,28.0,3,17.0,4,5.0,3.0,3.0,1,3,1,3.0,24447.0,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False
1792,0,32.0,1,8.0,3,1.0,3.0,1.0,0,3,0,0.0,20055.0,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False
1811,0,38.0,1,21.0,3,4.0,3.0,1.0,1,5,1,2.0,26510.0,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
1619,0,19.0,1,9.0,3,3.0,4.0,2.0,0,3,1,0.0,16483.0,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False
722,0,38.0,1,16.0,3,3.0,3.0,1.0,0,5,0,2.0,17684.0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
3063,0,34.0,3,7.0,3,2.0,5.0,3.0,0,4,0,1.0,22715.0,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
4447,0,41.0,3,12.0,3,5.0,5.0,7.0,1,5,0,1.0,29153.0,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
4588,0,59.0,1,12.0,3,5.0,4.0,4.0,1,5,1,2.0,29230.0,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
3608,0,41.0,1,23.0,3,4.0,3.0,8.0,1,4,1,1.0,26623.0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
0,1,41.0,3,6.0,3,3.0,3.0,1.0,1,2,1,0.0,20993.0,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False
2102,0,42.0,1,8.0,2,3.0,3.0,6.0,1,1,1,1.0,17515.0,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
1889,0,30.0,1,9.0,2,3.0,3.0,5.0,0,3,1,0.0,17097.0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
4735,0,50.0,3,15.0,3,5.0,4.0,8.0,0,4,1,2.0,31798.0,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
3411,0,41.0,1,7.0,3,4.0,4.0,5.0,0,1,1,2.0,21065.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
4597,1,26.0,3,26.0,3,5.0,4.0,3.0,1,1,0,2.0,21091.0,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
4873,1,41.0,3,14.0,3,4.0,4.0,3.0,0,5,0,1.0,23339.0,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False
1284,0,39.0,1,16.0,3,3.0,3.0,1.0,0,3,1,0.0,28464.0,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
303,0,31.0,3,13.0,3,2.0,3.0,5.0,0,2,1,0.0,21929.0,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
1961,0,43.0,1,15.0,3,3.0,3.0,4.0,1,3,1,2.0,20679.0,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
3693,1,30.0,3,16.0,3,6.0,4.0,3.0,0,1,1,2.0,21438.0,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False
1438,1,23.0,3,15.0,2,3.0,5.0,2.0,0,5,1,0.0,16790.0,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
3613,0,28.0,1,15.0,3,2.0,3.0,2.0,0,4,0,1.0,22195.0,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False
3075,0,45.0,1,15.0,4,2.0,3.0,4.0,1,3,1,3.0,21496.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
3007,0,26.0,3,33.0,3,4.0,3.0,3.0,0,4,0,1.0,24858.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
4338,0,58.0,3,36.0,3,5.0,3.0,5.0,0,3,1,1.0,32796.0,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False
4424,0,55.0,2,26.0,3,4.0,4.0,4.0,0,3,1,2.0,29403.0,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
3105,0,44.0,1,15.0,3,4.0,4.0,6.0,0,3,1,1.0,23443.0,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False
2673,1,30.0,1,25.0,3,5.0,3.0,3.0,1,3,0,2.0,21067.0,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
3990,0,36.0,3,7.0,3,5.0,5.0,2.0,0,1,1,2.0,22990.0,True,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
2644,0,28.0,1,7.0,3,5.0,5.0,7.0,0,3,0,2.0,22976.0,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
817,0,36.0,1,24.0,3,3.0,3.0,3.0,0,3,1,0.0,22779.0,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False
2625,0,35.0,1,34.0,4,4.0,4.0,4.0,0,3,1,1.0,20989.0,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False
3689,0,25.0,2,17.0,3,4.0,3.0,2.0,0,4,1,2.0,20823.0,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
4879,1,26.0,2,27.0,4,4.0,4.0,2.0,1,3,0,2.0,22347.0,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False
1720,1,37.0,1,16.0,3,3.0,3.0,7.0,0,3,0,2.0,25048.0,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
1483,0,34.0,1,25.0,3,3.0,3.0,1.0,0,3,0,0.0,17661.0,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
218,0,45.0,3,12.0,2,4.0,3.0,7.0,0,4,1,0.0,23865.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
343,0,29.0,3,16.0,2,4.0,4.0,2.0,1,5,0,1.0,23268.0,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False
1219,0,29.0,1,15.0,2,3.0,3.0,1.0,0,5,1,1.0,17974.0,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False
2996,0,57.0,1,16.0,3,4.0,3.0,2.0,0,4,0,1.0,29781.0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
4451,0,28.0,1,17.0,3,4.0,5.0,3.0,0,3,0,2.0,27471.0,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
1912,0,36.0,3,16.0,2,3.0,3.0,2.0,0,1,1,1.0,24980.0,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
1301,0,58.0,3,8.0,2,3.0,4.0,5.0,0,4,1,0.0,17705.0,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False
4422,0,36.0,1,13.0,3,6.0,3.0,3.0,0,5,0,2.0,25324.0,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False
4712,1,34.0,1,32.0,3,5.0,4.0,6.0,1,4,1,1.0,20991.0,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
3664,0,37.0,3,9.0,3,4.0,3.0,5.0,0,4,1,2.0,23180.0,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
871,1,24.0,1,23.0,3,3.0,4.0,2.0,0,2,0,1.0,17210.0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2922,0,26.0,3,20.0,3,4.0,3.0,3.0,0,3,1,1.0,20774.0,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
